gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
H2BC5	5573	8585	8283	4494	3168	3662
H2BC6	1910	2870	3304	1659	978	1020
H2BC7	3101	5769	4081	2404	1652	1788
H2BC8	2312	3438	3160	1450	1066	1144
H2BC9	2036	3440	2905	4199	2456	3119
H2BP6	0	1	0	0	0	0
H3-3A	969	1239	1215	762	776	886
H3-3B	2470	3214	3472	2323	1916	1912
H3-5	0	2	0	0	0	0
H3-7	87	213	217	247	246	136
H3C1	1092	1866	1894	1026	692	730
H3C10	1054	1674	1478	766	522	472
H3C11	1904	3109	3014	1353	1048	920
H3C12	646	1163	958	332	194	206
H3C13	847	1381	1389	1062	680	669
H3C14	9	6	5	0	0	1
H3C15	2	2	0	0	0	0
H3C2	3024	5039	4624	1886	1200	1126
H3C3	2846	4472	4312	1948	1066	1142
H3C6	240	396	358	568	402	378
H3C7	1356	2187	2178	2926	1686	1520
H3C8	2043	3240	3280	1934	1058	1018
H3C9P	0	0	1	8	0	0
H3P36	1	2	0	0	3	2
H3P4	5	0	0	0	4	0
H4C1	376	668	472	312	256	254
H4C11	219	313	332	264	116	96
H4C12	254	396	343	300	94	134
H4C13	1319	2264	1882	1062	750	612
H4C14	0	2	2	2	4	2
H4C15	10	10	2	2	0	2
H4C16	306	564	470	602	370	322
H4C2	1682	2650	2426	1573	872	872
H4C3	1498	2224	2142	936	666	644
H4C4	1054	1904	1578	918	524	634
H4C5	6936	10348	9640	7592	4696	5237
H4C6	510	906	738	1010	670	648
H4C8	1370	2003	2018	904	702	606
H4C9	704	1268	1116	384	156	190
H6PD	2733	3925	3606	2581	1800	2361
HAAO	0	0	0	14	6	10
HABP2	0	0	4	0	0	0
HABP4	408	484	593	558	462	506
HACD1	132	166	218	94	114	78
HACD2	322	512	411	261	253	278
HACD3	1161	1449	1716	1260	1013	1362
HACD4	30	75	70	84	92	114
HACE1	546	672	964	909	817	661
HACL1	950	1112	1405	646	633	626
HACL2	679	1126	1074	1956	1498	1429
HADH	839	1084	1156	737	586	674
HADHA	12663	17924	20397	19799	16473	17930
HADHAP1	2	0	2	0	0	0
HADHB	6391	8359	9595	7284	5544	6650
HAGH	1366	1755	1940	3035	2512	2676
HAGHL	70	64	83	232	150	146
HAGLR	66	92	75	54	50	50
HAL	0	6	8	4	11	5
HAMP	0	2	0	0	0	0
HAND2	2	0	0	0	0	0
HAO2	0	0	2	0	0	0
HAP1	2	5	7	6	0	0
HAPLN3	526	787	783	446	343	469
HAPSTR1	1287	1717	1889	2174	1572	2098
HARBI1	40	56	74	108	58	56
